0,01 0,0 993970 0,014142132387108824
0,01 0,0 744322 0,014142134747303645
0,01 0,0 1049111 0,014142132326964733
0,01 0,0 968447 0,014142128635169527
0,01 0,0 743702 0,014142126089242632
0,01 0,01 737135 0,014142127695375855
0,01 0,01 788019 0,014142127691303687
0,01 0,01 735613 0,014142126959736136
0,01 0,01 736845 0,0141421279527154
0,01 0,01 728398 0,014142132495496411
0,01 0,05 707348 0,014142125234472828
0,01 0,05 707686 0,014142134744641424
0,01 0,05 701781 0,014142129698975003
0,01 0,05 711460 0,014142135036289099
0,01 0,05 703254 0,014142127206874473
0,01 0,1 670656 0,014142134282550118
0,01 0,1 676468 0,014142124424537886
0,01 0,1 657129 0,01414213556787887
0,01 0,1 670935 0,014142134535181622
0,01 0,1 1021087 0,014142133483302044
0,01 0,5 620865 0,014142133993227692
0,01 0,5 371756 0,014142120247881317
0,01 0,5 372508 0,014142129138846174
0,01 0,5 369014 0,014142125965770065
0,01 0,5 371867 0,014142128116268127
0,05 0,0 274114 0,014142109336552293
0,05 0,0 148811 0,014142101456209198
0,05 0,0 147615 0,014142104646158971
0,05 0,0 146203 0,014142120248010768
0,05 0,0 149030 0,014142093099997597
0,05 0,01 147438 0,0141421000731934
0,05 0,01 144812 0,014142117068881487
0,05 0,01 147389 0,014142099296940339
0,05 0,01 144600 0,014142127297733427
0,05 0,01 141698 0,014142116421322376
0,05 0,05 141336 0,014142112376203792
0,05 0,05 141514 0,014142132568729695
0,05 0,05 138215 0,014142118725628572
0,05 0,05 142014 0,01414212767255796
0,05 0,05 140355 0,014142117194125208
0,05 0,1 129857 0,01414212834110185
0,05 0,1 134204 0,014142088405622893
0,05 0,1 133802 0,014142123436930389
0,05 0,1 134324 0,014142089788660817
0,05 0,1 131414 0,014142121343058988
0,05 0,5 72705 0,01414213559760037
0,05 0,5 74457 0,01414209385758436
0,05 0,5 71902 0,014142114259298132
0,05 0,5 77121 0,014142090066784541
0,05 0,5 74296 0,014142075174471998
0,1 0,0 71634 0,014142051121179172
0,1 0,0 74547 0,014142040360613424
0,1 0,0 74463 0,01414210030545921
0,1 0,0 74439 0,014142116721914583
0,1 0,0 74596 0,014142062712626018
0,1 0,01 73452 0,01414212320897651
0,1 0,01 71502 0,014142087226785055
0,1 0,01 73588 0,014142129545322315
0,1 0,01 71104 0,014142074280334151
0,1 0,01 73437 0,014142094756132947
0,1 0,05 70988 0,014142042002144622
0,1 0,05 130057 0,014142134272167026
0,1 0,05 71083 0,014142120581329366
0,1 0,05 130488 0,014142095280664742
0,1 0,05 69632 0,014142055014766975
0,1 0,1 65185 0,014142029183702706
0,1 0,1 66932 0,014142041040280367
0,1 0,1 67074 0,014142130982334685
0,1 0,1 65535 0,014142043187530033
0,1 0,1 66048 0,014142063102107432
0,1 0,5 37238 0,014141972850340205
0,1 0,5 35765 0,014142003364882864
0,1 0,5 37431 0,014142064999211335
0,1 0,5 39171 0,014142133270679813
0,1 0,5 37338 0,014142100300205754
0,5 0,0 14868 0,014142029527046601
0,5 0,0 16949 0,01414181052421294
0,5 0,0 26797 0,014141917387811943
0,5 0,0 14980 0,014141867348066954
0,5 0,0 14858 0,01414208837632589
0,5 0,01 14600 0,01414206702933282
0,5 0,01 14568 0,01414167106030957
0,5 0,01 14670 0,014141655421771288
0,5 0,01 14297 0,01414193613434046
0,5 0,01 14653 0,014141779676918508
0,5 0,05 15020 0,014141923081412763
0,5 0,05 13960 0,014141649104181992
0,5 0,05 14079 0,014142115017742795
0,5 0,05 13786 0,014141857409311358
0,5 0,05 20706 0,014142009989320388
0,5 0,1 13383 0,014141754520987863
0,5 0,1 12823 0,014141876332770191
0,5 0,1 13351 0,014141836974018732
0,5 0,1 13371 0,014141931904230376
0,5 0,1 13378 0,014141844323249516
0,5 0,5 7346 0,014141853292763485
0,5 0,5 7439 0,014141534710071324
0,5 0,5 7437 0,014141278318235556
0,5 0,5 7471 0,01414173502087422
0,5 0,5 11952 0,014141500305178604
1,0 0,0 7410 0,014141820949118335
1,0 0,0 7436 0,014141321918278773
1,0 0,0 9910 0,014141893577287571
1,0 0,0 7331 0,01414201176427728
1,0 0,0 7344 0,014142123375065582
1,0 0,01 6833 0,014141556319991536
1,0 0,01 7361 0,014141824961592315
1,0 0,01 7275 0,014141419463671
1,0 0,01 13534 0,014141937127317847
1,0 0,01 8491 0,014141205889776921
1,0 0,05 7081 0,014141773339755732
1,0 0,05 11765 0,014141792744180651
1,0 0,05 7056 0,014141734449041184
1,0 0,05 7056 0,014141560296024236
1,0 0,05 6952 0,014141274527733264
1,0 0,1 6698 0,01414207588719402
1,0 0,1 6657 0,014141713541183477
1,0 0,1 6685 0,014141404074026238
1,0 0,1 6688 0,014142022987505406
1,0 0,1 6593 0,014142044696353405
1,0 0,5 3704 0,01414040678257119
1,0 0,5 3730 0,014142072492868512
1,0 0,5 3697 0,014141476003394783
1,0 0,5 3570 0,014141668046171523
1,0 0,5 3717 0,014140272283784162
