1	0.9009	1.3423	0.9050	1.3453
2	0.5598	0.9142	0.5191	0.9444
3	0.3873	0.6923	0.3818	0.8188
4	0.0289	0.2400	0.2184	0.6591
5	0.0266	0.2298	0.2114	0.6444
6	0.0251	0.2239	0.2863	0.7505
7	0.0256	0.2261	0.2707	0.7329
8	0.0257	0.2265	0.2669	0.7305
9	0.0278	0.2356	0.2652	0.7275
10	0.0302	0.2459	0.2616	0.7231
11	0.0313	0.2498	0.2695	0.7331
12	0.0358	0.2663	0.2985	0.7704
13	0.0385	0.2775	0.2986	0.7719
14	0.0539	0.3249	0.3078	0.7812
15	0.0422	0.2855	0.3035	0.7786
16	0.0678	0.3596	0.3476	0.8281
17	0.0912	0.4229	0.3795	0.8682
18	0.0566	0.3276	0.2983	0.7721
19	0.0489	0.3085	0.2986	0.7722
20	0.0633	0.3419	0.3142	0.7919
