1	1.0994	1.4827	0.5970	1.0926
2	0.9757	1.3969	0.5192	1.0190
3	0.2376	0.5617	0.1201	0.3956
4	0.0553	0.3326	0.0235	0.2166
5	0.0527	0.3244	0.0215	0.2063
6	0.0488	0.3124	0.0192	0.1940
7	0.0528	0.3244	0.0217	0.2050
8	0.0480	0.3096	0.0155	0.1754
9	0.0445	0.2983	0.0129	0.1606
10	0.0471	0.3069	0.0168	0.1816
11	0.0501	0.3160	0.0184	0.1905
12	0.0484	0.3110	0.0186	0.1914
13	0.0475	0.3081	0.0172	0.1838
14	0.0500	0.3159	0.0177	0.1864
15	0.0464	0.3047	0.0140	0.1674
16	0.0486	0.3117	0.0160	0.1778
17	0.0481	0.3101	0.0154	0.1746
18	0.0508	0.3186	0.0175	0.1868
19	0.0486	0.3116	0.0162	0.1791
20	0.0510	0.3190	0.0176	0.1870
