0.01	0	899910	0.01414
0.01	0.01	745202	0.01414
0.01	0.05	706306	0.01414
0.01	0.1	739255	0.01414
0.01	0.5	421202	0.01414
0.05	0	173155	0.01414
0.05	0.01	145187	0.01414
0.05	0.05	140687	0.01414
0.05	0.1	132720	0.01414
0.05	0.5	74096	0.01414
0.1	0	73936	0.01414
0.1	0.01	72617	0.01414
0.1	0.05	94450	0.01414
0.1	0.1	66155	0.01414
0.1	0.5	37389	0.01414
0.5	0	17690	0.01414
0.5	0.01	14558	0.01414
0.5	0.05	15510	0.01414
0.5	0.1	13261	0.01414
0.5	0.5	8329	0.01414
1	0	7886	0.01414
1	0.01	8699	0.01414
1	0.05	7982	0.01414
1	0.1	6664	0.01414
1	0.5	3684	0.01414
